Month,WEEK,DT,RESTAURANT_ID,REST_NAME,CITY,AREA,TOTAL_ORDERS,GMV,MENU_SESSIONS
01/06/2025,24,2025-06-15,76509,Brand D,Mumbai,Malad Kan West,1,1224.180017,19
01/06/2025,24,2025-06-15,83864,Brand D,Mumbai,Borivali,4,3705.87053,39
01/06/2025,24,2025-06-15,184604,Brand G,Mumbai,Malad Kan East,70,27588.09648,352
01/06/2025,24,2025-06-15,656170,Brand D,Mumbai,Chembur,2,1072.600012,29
01/06/2025,24,2025-06-15,668983,Brand D,Mumbai,Andheri West,1,573.6500122,5
01/06/2025,24,2025-06-15,688993,Brand E,Mumbai,Marol Sakinaka,7,8931.301309,115
01/06/2025,24,2025-06-15,783761,Brand D,Mumbai,CBD Belapur,2,1620.749976,16
01/06/2025,24,2025-06-15,880733,Brand C,Mumbai,Vashi,12,6178.725993,73
01/06/2025,24,2025-06-15,974354,Brand B,Mumbai,Mulund,55,15537.17783,332
01/06/2025,24,2025-06-15,974356,Brand B,Mumbai,Powai,59,19220.35984,278
01/06/2025,24,2025-06-15,1037606,Brand A,Mumbai,Andheri East,52,19417.65392,330
01/06/2025,25,2025-06-16,70556,Brand D,Mumbai,Bandra West,1,246.95,26
01/06/2025,25,2025-06-16,76508,Brand D,Mumbai,Lower Parel Worli,1,425.45,7
01/06/2025,25,2025-06-16,76509,Brand D,Mumbai,Malad Kan West,2,766.9,7
01/06/2025,25,2025-06-16,184604,Brand G,Mumbai,Malad Kan East,31,11547.0173,233
01/06/2025,25,2025-06-16,656170,Brand D,Mumbai,Chembur,1,664.4000122,26
01/06/2025,25,2025-06-16,668983,Brand D,Mumbai,Andheri West,2,808.9,7
01/06/2025,25,2025-06-16,688993,Brand E,Mumbai,Marol Sakinaka,2,2932.300339,71
01/06/2025,25,2025-06-16,783761,Brand D,Mumbai,CBD Belapur,1,372.95,12
01/06/2025,25,2025-06-16,828997,Brand D,Mumbai,Thane,2,785.4753577,6
01/06/2025,25,2025-06-16,880733,Brand C,Mumbai,Vashi,5,2520.280644,55
01/06/2025,25,2025-06-16,974354,Brand B,Mumbai,Mulund,33,8856.490354,213
01/06/2025,25,2025-06-16,974356,Brand B,Mumbai,Powai,31,9726.572361,170
01/06/2025,25,2025-06-16,1037606,Brand A,Mumbai,Andheri East,83,29930.18286,365
01/06/2025,25,2025-06-16,1074224,Brand D,Mumbai,Matunga Wadala,2,1048.100001,13
01/06/2025,25,2025-06-17,83864,Brand D,Mumbai,Borivali,2,752.3999939,27
01/06/2025,25,2025-06-17,184604,Brand G,Mumbai,Malad Kan East,41,15121.6195,233
01/06/2025,25,2025-06-17,656170,Brand D,Mumbai,Chembur,4,1718.595374,24
01/06/2025,25,2025-06-17,668983,Brand D,Mumbai,Andheri West,2,651.4,9
01/06/2025,25,2025-06-17,688993,Brand E,Mumbai,Marol Sakinaka,2,1377.599951,74
01/06/2025,25,2025-06-17,783761,Brand D,Mumbai,CBD Belapur,3,1754.250024,17
01/06/2025,25,2025-06-17,880733,Brand C,Mumbai,Vashi,3,2090.900303,35
01/06/2025,25,2025-06-17,974354,Brand B,Mumbai,Mulund,23,6797.246714,197
01/06/2025,25,2025-06-17,974356,Brand B,Mumbai,Powai,41,12328.24637,170
01/06/2025,25,2025-06-17,1037606,Brand A,Mumbai,Andheri East,50,18348.63991,248
01/06/2025,25,2025-06-18,76509,Brand D,Mumbai,Malad Kan West,1,710.1500122,10
